MMSI,Loitering,AIS_Gap,In_Restricted_Zone,Nighttime_Fishing,LAT,LON,BaseDateTime
79598850,False,False,False,True,29.04533,-176.90428,2025-01-07 04:55:53
211517000,False,False,False,True,53.83509,-174.81624,2025-01-04 23:30:54
255805913,False,False,False,True,53.14751,-176.67579,2025-01-08 16:40:43
271041862,False,False,False,True,54.66813,-174.01128,2025-01-21 04:00:17
273318720,False,True,False,True,63.02782,-174.44721,2025-01-08 19:13:16
273898000,False,True,False,True,63.98107,-174.90872,2025-01-06 13:31:41
311056400,False,True,False,True,53.00542,-177.65861,2025-01-06 01:16:45
316022036,False,False,False,True,49.21853,-179.11166,2025-01-03 02:47:43
352844000,False,False,False,True,52.54277,-174.70408,2025-01-29 12:12:01
353003000,False,True,False,True,52.52382,-174.00038,2025-01-31 18:04:49
353073000,False,False,False,True,54.16478,-176.9807,2025-01-04 20:43:11
355113000,False,True,False,False,52.93721,-179.97656,2025-01-13 08:48:07
355120000,False,False,False,True,50.62031,-176.33056,2025-01-15 02:15:54
355139000,False,True,False,False,50.7148,-176.40468,2025-01-27 10:15:14
355972000,False,True,False,True,51.70958,-179.47025,2025-01-15 20:43:58
356159000,False,True,False,False,53.11028,-176.75475,2025-01-02 06:02:26
366940480,False,True,True,True,52.48788,-174.00034,2025-01-04 11:34:37
366988820,False,True,False,True,52.76364,-174.85021,2025-01-05 06:46:22
367390380,False,False,False,True,52.42239,-174.63415,2025-01-29 14:32:05
370024000,False,False,False,True,54.72279,-176.02681,2025-01-03 05:41:52
370633000,False,False,False,True,53.26142,-177.15349,2025-01-01 23:58:14
373889000,False,False,False,True,52.82427,-176.36609,2025-01-31 08:28:49
374553000,False,False,False,True,53.81775,-174.4413,2025-01-05 03:34:43
412436952,False,True,False,False,19.87182,-176.23555,2025-01-18 06:33:01
477027300,False,True,False,False,21.17609,-179.81152,2025-01-18 10:21:27
477027500,False,True,False,True,51.72814,-179.48077,2025-01-15 09:06:39
477099600,False,True,False,False,21.97533,-175.48533,2025-01-18 09:46:16
477108100,False,False,False,True,54.4923,-179.43465,2025-01-05 05:53:21
477348200,False,True,False,True,51.73939,-179.46454,2025-01-16 04:08:39
477444700,False,True,False,True,52.14268,-179.23239,2025-01-02 03:10:09
477982600,False,True,False,True,52.7284,-174.00338,2025-01-31 19:11:24
538006238,False,True,False,False,22.17992,-176.90392,2025-01-18 16:15:16
563004900,False,False,False,True,54.73643,-176.8955,2025-01-05 01:27:45
563317000,False,False,False,True,54.3313,-177.20844,2025-01-05 05:33:24
566352000,False,False,False,True,55.66971,-177.71495,2025-01-07 05:29:45
