MMSI,Loitering,AIS_Gap,In_Restricted_Zone,Nighttime_Fishing
79598850,False,False,False,True
211517000,False,False,False,True
255805913,False,False,False,True
271041862,False,False,False,True
273318720,False,True,False,True
273898000,False,True,False,True
311056400,False,True,False,True
316022036,False,False,False,True
352844000,False,False,False,True
353003000,False,True,False,True
353073000,False,False,False,True
355113000,False,True,False,False
355120000,False,False,False,True
355139000,False,True,False,False
355972000,False,True,False,True
356159000,False,True,False,False
366940480,False,True,True,True
366988820,False,True,False,True
367390380,False,False,False,True
370024000,False,False,False,True
370633000,False,False,False,True
373889000,False,False,False,True
374553000,False,False,False,True
412436952,False,True,False,False
477027300,False,True,False,False
477027500,False,True,False,True
477099600,False,True,False,False
477108100,False,False,False,True
477348200,False,True,False,True
477444700,False,True,False,True
477982600,False,True,False,True
538006238,False,True,False,False
563004900,False,False,False,True
563317000,False,False,False,True
566352000,False,False,False,True
